2016年以来上证点位统计,收盘价次数,概率
2460,2,0.12%
2480,2,0.12%
2490,2,0.12%
2500,1,0.06%
2510,2,0.12%
2520,2,0.12%
2530,4,0.24%
2540,4,0.24%
2550,3,0.18%
2560,4,0.24%
2570,8,0.49%
2580,5,0.30%
2590,10,0.61%
2600,10,0.61%
2610,2,0.12%
2630,4,0.24%
2640,4,0.24%
2650,9,0.55%
2660,7,0.43%
2670,3,0.18%
2680,5,0.30%
2690,3,0.18%
2700,6,0.36%
2710,3,0.18%
2720,11,0.67%
2730,9,0.55%
2740,10,0.61%
2750,6,0.36%
2760,8,0.49%
2770,9,0.55%
2780,13,0.79%
2790,8,0.49%
2800,7,0.43%
2810,15,0.91%
2820,18,1.09%
2830,11,0.67%
2840,9,0.55%
2850,12,0.73%
2860,14,0.85%
2870,16,0.97%
2880,23,1.40%
2890,22,1.34%
2900,28,1.70%
2910,24,1.46%
2920,21,1.28%
2930,26,1.58%
2940,13,0.79%
2950,17,1.03%
2960,11,0.67%
2970,25,1.52%
2980,19,1.16%
2990,21,1.28%
3000,23,1.40%
3010,13,0.79%
3020,20,1.22%
3030,12,0.73%
3040,16,0.97%
3050,15,0.91%
3060,20,1.22%
3070,19,1.16%
3080,20,1.22%
3090,25,1.52%
3100,28,1.70%
3110,21,1.28%
3120,21,1.28%
3130,19,1.16%
3140,15,0.91%
3150,22,1.34%
3160,13,0.79%
3170,13,0.79%
3180,17,1.03%
3190,20,1.22%
3200,13,0.79%
3210,29,1.76%
3220,16,0.97%
3230,20,1.22%
3240,27,1.64%
3250,29,1.76%
3260,26,1.58%
3270,37,2.25%
3280,29,1.76%
3290,18,1.09%
3300,12,0.73%
3310,15,0.91%
3320,12,0.73%
3330,11,0.67%
3340,13,0.79%
3350,16,0.97%
3360,29,1.76%
3370,22,1.34%
3380,21,1.28%
3390,18,1.09%
3400,14,0.85%
3410,19,1.16%
3420,14,0.85%
3430,7,0.43%
3440,20,1.22%
3450,12,0.73%
3460,13,0.79%
3470,11,0.67%
3480,15,0.91%
3490,10,0.61%
3500,13,0.79%
3510,9,0.55%
3520,19,1.16%
3530,14,0.85%
3540,9,0.55%
3550,12,0.73%
3560,21,1.28%
3570,10,0.61%
3580,16,0.97%
3590,21,1.28%
3600,11,0.67%
3610,7,0.43%
3620,7,0.43%
3630,6,0.36%
3640,4,0.24%
3650,2,0.12%
3660,3,0.18%
3670,5,0.30%
3680,1,0.06%
3690,2,0.12%
3700,1,0.06%
3710,1,0.06%
