date,close,close_-1_s,close_2_s
2015-01-23,13.63,13.63,13.95
2015-01-26,13.86,13.63,14.06
2015-01-27,13.95,13.86,13.88
2015-01-28,14.06,13.95,13.85
2015-01-29,13.88,14.06,13.86
2015-01-30,13.85,13.88,14.0
2015-02-02,13.86,13.85,13.93
2015-02-03,14.0,13.86,13.72
2015-02-04,13.93,14.0,13.25
2015-02-05,13.72,13.93,13.28
2015-02-06,13.25,13.72,13.31
2015-02-09,13.28,13.25,13.5
2015-02-10,13.31,13.28,13.68
2015-02-11,13.5,13.31,13.88
2015-02-12,13.68,13.5,13.99
2015-02-13,13.88,13.68,14.0
2015-02-16,13.99,13.88,14.15
2015-02-17,14.0,13.99,14.68
2015-02-25,14.15,14.0,14.93
2015-02-26,14.68,14.15,15.0
2015-02-27,14.93,14.68,14.99
2015-03-02,15.0,14.93,15.17
2015-03-03,14.99,15.0,15.19
2015-03-04,15.17,14.99,14.88
2015-03-05,15.19,15.17,14.98
2015-03-06,14.88,15.19,15.25
2015-03-09,14.98,14.88,15.1
2015-03-10,15.25,14.98,14.85
2015-03-11,15.1,15.25,15.16
2015-03-12,14.85,15.1,15.85
2015-03-13,15.16,14.85,15.71
2015-03-16,15.85,15.16,16.18
2015-03-17,15.71,15.85,16.3
2015-03-18,16.18,15.71,16.32
2015-03-19,16.3,16.18,16.62
2015-03-20,16.32,16.3,16.18
2015-03-23,16.62,16.32,16.41
2015-03-24,16.18,16.62,16.19
2015-03-25,16.41,16.18,16.58
2015-03-26,16.19,16.41,17.5
2015-03-27,16.58,16.19,17.77
2015-03-30,17.5,16.58,18.68
2015-03-31,17.77,17.5,18.79
2015-04-01,18.68,17.77,18.61
2015-04-02,18.79,18.68,19.14
2015-04-03,18.61,18.79,18.5
2015-04-07,19.14,18.61,17.88
2015-04-08,18.5,19.14,18.68
2015-04-09,17.88,18.5,19.45
2015-04-10,18.68,17.88,20.33
2015-04-13,19.45,18.68,19.19
2015-04-14,20.33,19.45,19.65
2015-04-15,19.19,20.33,19.35
2015-04-16,19.65,19.19,18.36
2015-04-17,19.35,19.65,18.92
2015-04-20,18.36,19.35,19.85
2015-04-21,18.92,18.36,19.91
2015-04-22,19.85,18.92,20.25
2015-04-23,19.91,19.85,20.19
2015-04-24,20.25,19.91,19.38
2015-04-27,20.19,20.25,19.89
2015-04-28,19.38,20.19,19.8
2015-04-29,19.89,19.38,20.02
2015-04-30,19.8,19.89,19.5
2015-05-04,20.02,19.8,19.14
2015-05-05,19.5,20.02,18.33
2015-05-06,19.14,19.5,19.31
2015-05-07,18.33,19.14,20.02
2015-05-08,19.31,18.33,20.11
2015-05-11,20.02,19.31,20.38
2015-05-12,20.11,20.02,21.23
2015-05-13,20.38,20.11,21.21
2015-05-14,21.23,20.38,22.58
2015-05-15,21.21,21.23,22.57
2015-05-18,22.58,21.21,24.4
2015-05-19,22.57,22.58,26.1
2015-05-20,24.4,22.57,25.81
2015-05-21,26.1,24.4,25.9
2015-05-22,25.81,26.1,26.35
2015-05-25,25.9,25.81,28.6
2015-05-26,26.35,25.9,25.75
2015-05-27,28.6,26.35,25.5
2015-05-28,25.75,28.6,27.3
2015-05-29,25.5,25.75,28.38
2015-06-01,27.3,25.5,28.43
2015-06-02,28.38,27.3,27.58
2015-06-03,28.43,28.38,28.06
2015-06-04,27.58,28.43,27.52
2015-06-05,28.06,27.58,26.71
2015-06-08,27.52,28.06,27.88
2015-06-09,26.71,27.52,28.79
2015-06-10,27.88,26.71,29.56
2015-06-11,28.79,27.88,28.16
2015-06-12,29.56,28.79,26.21
2015-06-15,28.16,29.56,26.8
2015-06-16,26.21,28.16,25.8
2015-06-17,26.8,26.21,23.79
2015-06-18,25.8,26.8,23.63
2015-06-19,23.79,25.8,24.37
2015-06-23,23.63,23.79,22.81
2015-06-24,24.37,23.63,20.53
2015-06-25,22.81,24.37,18.48
2015-06-26,20.53,22.81,19.29
2015-06-29,18.48,20.53,17.59
2015-06-30,19.29,18.48,15.83
2015-07-01,17.59,19.29,14.25
2015-07-02,15.83,17.59,13.64
2015-07-03,14.25,15.83,12.28
2015-07-06,13.64,14.25,13.0
2015-07-07,12.28,13.64,14.3
2015-07-08,13.0,12.28,15.73
2015-07-09,14.3,13.0,17.3
2015-07-10,15.73,14.3,18.03
2015-07-13,17.3,15.73,16.29
2015-07-14,18.03,17.3,17.78
2015-07-15,16.29,18.03,18.82
2015-07-16,17.78,16.29,20.7
2015-07-17,18.82,17.78,20.02
2015-07-20,20.7,18.82,19.72
2015-07-21,20.02,20.7,20.29
2015-07-22,19.72,20.02,19.23
2015-07-23,20.29,19.72,17.31
2015-07-24,19.23,20.29,18.72
2015-07-27,17.31,19.23,20.59
2015-07-28,18.72,17.31,19.45
2015-07-29,20.59,18.72,19.0
2015-07-30,19.45,20.59,19.18
2015-07-31,19.0,19.45,20.1
2015-08-03,19.18,19.0,19.37
2015-08-04,20.1,19.18,19.41
2015-08-05,19.37,20.1,20.03
2015-08-06,19.41,19.37,20.91
2015-08-07,20.03,19.41,20.59
2015-08-10,20.91,20.03,19.97
2015-08-11,20.59,20.91,20.47
2015-08-12,19.97,20.59,20.32
2015-08-13,20.47,19.97,20.73
2015-08-14,20.32,20.47,20.25
2015-08-17,20.73,20.32,20.99
2015-08-18,20.25,20.73,22.19
2015-08-19,20.99,20.25,23.13
2015-08-20,22.19,20.99,21.63
2015-08-21,23.13,22.19,19.47
2015-08-28,21.63,23.13,17.52
2015-08-31,19.47,21.63,17.17
2015-09-01,17.52,19.47,17.33
2015-09-02,17.17,17.52,18.01
2015-09-07,17.33,17.17,18.07
2015-09-08,18.01,17.33,18.39
2015-09-09,18.07,18.01,18.29
2015-09-10,18.39,18.07,18.28
2015-09-11,18.29,18.39,18.58
2015-09-14,18.28,18.29,20.28
2015-09-15,18.58,18.28,19.41
2015-09-16,20.28,18.58,19.53
2015-09-17,19.41,20.28,19.89
2015-09-18,19.53,19.41,19.73
2015-09-21,19.89,19.53,19.69
2015-09-22,19.73,19.89,20.53
2015-09-23,19.69,19.73,20.15
2015-09-24,20.53,19.69,20.5
2015-09-25,20.15,20.53,20.52
2015-09-28,20.5,20.15,20.53
2015-09-29,20.52,20.5,21.7
2015-09-30,20.53,20.52,22.23
2015-10-08,21.7,20.53,23.05
2015-10-09,22.23,21.7,23.14
2015-10-12,23.05,22.23,22.33
2015-10-13,23.14,23.05,23.05
2015-10-14,22.33,23.14,23.3
2015-10-15,23.05,22.33,23.8
